epoch,phase,nc1,feat_norm,train_loss,train_acc,train_err,test_acc,weight_norm,grad_norm
10,1,0.30850696563720703,30.258380889892578,0.025612738080819448,0.9912333333333333,0.0087666666666667,0.971,54.01096725463867,0.7506358623504639
20,1,0.1955786794424057,27.034204483032227,0.011000647253418962,0.9966333333333334,0.003366666666666629,0.9775,42.79391098022461,0.37931692600250244
30,1,0.16038887202739716,24.38029670715332,0.007443198873847723,0.9978333333333333,0.00216666666666665,0.9787,35.675567626953125,0.2623547613620758
40,1,0.1302802711725235,24.537208557128906,0.003089491294013957,0.9990666666666667,0.0009333333333333416,0.9825,31.2106990814209,0.0669984519481659
50,1,0.11084382236003876,22.21318244934082,0.0024934334509074687,0.9992833333333333,0.0007166666666666988,0.9833,27.340923309326172,0.202517569065094
60,1,0.11232493072748184,19.723896026611328,0.003192625283325712,0.9989833333333333,0.0010166666666666657,0.9833,25.535324096679688,0.1557314693927765
70,1,0.0961829349398613,19.65022850036621,0.0003539156274249156,1.0,0.0,0.987,19.69901466369629,0.013789650052785873
80,1,0.09617897868156433,17.355819702148438,0.0018658408299088477,0.9995166666666667,0.0004833333333332801,0.9854,21.586082458496094,0.03464587777853012
90,1,0.08949407935142517,18.039091110229492,0.00032783456097046533,1.0,0.0,0.9862,17.544836044311523,0.010095926932990551
100,1,0.08803574740886688,16.761043548583984,0.0002726651122793555,0.9999833333333333,1.666666666666483e-05,0.9861,18.559091567993164,0.024099532514810562
110,1,0.09288724511861801,16.90561294555664,0.00034353204853832724,1.0,0.0,0.9864,15.920381546020508,0.013958428986370564
120,1,0.08384010940790176,16.182523727416992,0.00016676021137585243,1.0,0.0,0.9853,16.670143127441406,0.005872184876352549
130,1,0.09034395217895508,16.34747314453125,0.00037323372568935154,1.0,0.0,0.9854,15.002289772033691,0.02459261752665043
140,1,0.09769803285598755,16.691238403320312,0.00031063320611914,1.0,0.0,0.9861,14.102380752563477,0.01428496278822422
150,1,0.10413388162851334,16.764690399169922,0.000402409481878082,1.0,0.0,0.9856,13.408723831176758,0.022168628871440887
160,1,0.09249074757099152,16.467527389526367,0.00020150963328778744,1.0,0.0,0.9859,13.462194442749023,0.011674062348902225
170,1,0.1045699492096901,16.827123641967773,0.0003152829257460932,1.0,0.0,0.9856,13.003440856933594,0.014451822265982628
180,1,0.10856544226408005,17.09817886352539,0.0003305567654781044,1.0,0.0,0.9854,12.827804565429688,0.015458104200661182
190,1,0.11070462316274643,17.274778366088867,0.0003327198190925022,1.0,0.0,0.9853,12.739187240600586,0.014781143516302109
200,1,0.11108739674091339,17.304792404174805,0.00033405635232726735,1.0,0.0,0.9853,12.719830513000488,0.01587333343923092
210,2,0.05442244932055473,2.5816776752471924,0.038462943649291995,0.9823166666666666,0.017683333333333384,0.9701,15.294075012207031,0.06830225139856339
220,2,0.03041139245033264,1.618176817893982,0.022739220559597016,0.9915666666666667,0.008433333333333293,0.9759,14.267756462097168,0.04586943984031677
230,2,0.017462007701396942,1.2819117307662964,0.012724376666545868,0.9965833333333334,0.0034166666666666234,0.9807,13.24394702911377,0.03557157889008522
240,2,0.01256079226732254,1.1095384359359741,0.00916793057322502,0.9975666666666667,0.0024333333333332874,0.9824,12.164833068847656,0.03380501642823219
250,2,0.010788746178150177,1.037400245666504,0.009394298768043518,0.9977166666666667,0.002283333333333304,0.9812,11.154129981994629,0.02929016388952732
260,2,0.0089773153886199,1.0455247163772583,0.007699096214771271,0.99855,0.0014499999999999513,0.9836,10.27165412902832,0.022976865991950035
270,2,0.009843424893915653,1.047162413597107,0.008580331206321717,0.9977,0.0022999999999999687,0.9828,9.671711921691895,0.025181740522384644
280,2,0.011047929525375366,1.0582739114761353,0.011157379045089085,0.99705,0.002950000000000008,0.9802,9.246956825256348,0.038889408111572266
290,2,0.009899605065584183,1.0618380308151245,0.009969981614748637,0.9966666666666667,0.0033333333333332993,0.9809,9.054863929748535,0.039076805114746094
300,2,0.009127841331064701,1.0661219358444214,0.00842940402974685,0.9974,0.0026000000000000467,0.9809,8.95748233795166,0.02946808561682701
310,2,0.0088038993999362,1.0695900917053223,0.008190791301429272,0.9982,0.0018000000000000238,0.9809,8.74748420715332,0.029251715168356895
320,2,0.007147997617721558,1.0713211297988892,0.006584366009632746,0.9988333333333334,0.0011666666666666492,0.982,8.686237335205078,0.028217243030667305
330,2,0.0072128912433981895,1.0678083896636963,0.006491847612460454,0.9987,0.0012999999999999678,0.9812,8.672685623168945,0.01985226385295391
340,2,0.006909742020070553,1.0975401401519775,0.006199750244617462,0.9989833333333333,0.0010166666666666657,0.9816,8.51091480255127,0.028016073629260063
350,2,0.007297937758266926,1.0809223651885986,0.006730120158443848,0.99855,0.0014499999999999513,0.9822,8.46385383605957,0.019391903653740883
360,2,0.004908468574285507,1.0895968675613403,0.003969846135377884,0.9995833333333334,0.0004166666666666208,0.9845,8.381193161010742,0.01587291993200779
370,2,0.005736845545470715,1.0974234342575073,0.004704104651262362,0.9995333333333334,0.00046666666666661527,0.9837,8.320686340332031,0.016120070591568947
380,2,0.004485709592700005,1.1011070013046265,0.003619600749760866,0.9997333333333334,0.0002666666666666373,0.9841,8.208393096923828,0.02202797308564186
390,2,0.004318211693316698,1.1058366298675537,0.0033824617967009546,0.9997666666666667,0.00023333333333330764,0.985,8.16514778137207,0.012666185386478901
400,2,0.003838556818664074,1.1036664247512817,0.002975445757309596,0.9997666666666667,0.00023333333333330764,0.9842,8.106431007385254,0.011507564224302769
410,2,0.003913658205419779,1.1158812046051025,0.003085594196120898,0.9997833333333334,0.0002166666666666428,0.9843,8.048251152038574,0.015828777104616165
420,2,0.003600719152018428,1.1077287197113037,0.002762105245391528,0.9998,0.00019999999999997797,0.9843,7.9979095458984375,0.01345099601894617
430,2,0.0033861955162137747,1.1149755716323853,0.0025300829102595647,0.9998166666666667,0.00018333333333331314,0.9843,7.957630634307861,0.013839454390108585
440,2,0.0033731996081769466,1.1184784173965454,0.002493203216791153,0.9998,0.00019999999999997797,0.9846,7.9226579666137695,0.013224881142377853
450,2,0.003317532828077674,1.119367241859436,0.0024178761541843413,0.9998166666666667,0.00018333333333331314,0.984,7.899723529815674,0.01279024314135313
460,2,0.003214500145986676,1.122797966003418,0.002331442837913831,0.9998333333333334,0.0001666666666666483,0.9844,7.878870964050293,0.013117585331201553
470,2,0.003202292835339904,1.1229146718978882,0.002298309986293316,0.9998166666666667,0.00018333333333331314,0.9843,7.86336088180542,0.011798471212387085
480,2,0.0031631803140044212,1.122719168663025,0.0022638959228992463,0.9998166666666667,0.00018333333333331314,0.9843,7.852348804473877,0.010680788196623325
490,2,0.0031403007451444864,1.1217700242996216,0.00225994915018479,0.9998166666666667,0.00018333333333331314,0.9841,7.847189426422119,0.010295683518052101
500,2,0.0031481320038437843,1.1225135326385498,0.002262172866612673,0.9998166666666667,0.00018333333333331314,0.9841,7.846022129058838,0.01042392011731863
