epoch,phase,train,test,nc1,nc2,nc3,feat_norm,feat_norm_preln
10,1,0.9842833333333333,0.9683,,,,,
20,1,0.9931333333333333,0.9732,0.2642505168914795,0.06751925498247147,0.05108565092086792,12.78704833984375,32.45942687988281
30,1,0.9963333333333333,0.9766,0.2433779239654541,0.0720684677362442,0.05062359571456909,13.045394897460938,38.44520950317383
40,1,0.99355,0.9734,0.27554258704185486,0.08216231316328049,0.05736809968948364,13.185287475585938,43.414676666259766
50,1,0.99855,0.9814,0.24491679668426514,0.07104645669460297,0.053195297718048096,13.353683471679688,48.526668548583984
60,1,0.9982833333333333,0.9813,0.28063079714775085,0.06863156706094742,0.05459022521972656,13.381518363952637,50.74355697631836
70,1,0.9989833333333333,0.9809,0.24218007922172546,0.05877603963017464,0.052935004234313965,13.558347702026367,56.1134033203125
80,1,0.9980833333333333,0.9814,0.2933625280857086,0.09035674482584,0.06515014171600342,13.560470581054688,58.997615814208984
90,1,0.99995,0.9847,0.21446014940738678,0.05399645119905472,0.04937714338302612,13.729840278625488,63.97339630126953
100,1,1.0,0.9863,0.2102719247341156,0.04604024812579155,0.048243165016174316,13.728931427001953,66.68873596191406
110,1,1.0,0.9864,0.19417081773281097,0.040504567325115204,0.04545700550079346,13.767718315124512,68.17343139648438
120,1,1.0,0.9867,0.1828678548336029,0.03801732882857323,0.04358065128326416,13.799798011779785,69.31668090820312
130,1,1.0,0.9871,0.17343415319919586,0.03701234236359596,0.042062580585479736,13.829848289489746,70.34976959228516
140,1,1.0,0.9869,0.1653451770544052,0.036571014672517776,0.04078596830368042,13.859726905822754,71.32234191894531
150,1,1.0,0.9869,0.15836356580257416,0.03611503168940544,0.03970545530319214,13.887735366821289,72.2173843383789
160,1,1.0,0.987,0.15245240926742554,0.035867154598236084,0.038805365562438965,13.913177490234375,73.0156478881836
170,1,1.0,0.9872,0.14772897958755493,0.03617000952363014,0.03809851408004761,13.93482780456543,73.68579864501953
180,1,1.0,0.9871,0.14431580901145935,0.03642997518181801,0.03759115934371948,13.951287269592285,74.1867446899414
190,1,1.0,0.9872,0.14241604506969452,0.03656570240855217,0.03731238842010498,13.960805892944336,74.47063446044922
200,1,1.0,0.9872,0.1419747769832611,0.03659585118293762,0.03724795579910278,13.963050842285156,74.53728485107422
210,2,0.9813333333333333,0.9747,0.8567487001419067,0.18812289834022522,0.5640848875045776,13.55684757232666,109.59510040283203
220,2,0.9881833333333333,0.9804,0.5181307196617126,0.20375066995620728,0.585509717464447,13.519250869750977,123.00945281982422
230,2,0.9922833333333333,0.9833,0.3180229961872101,0.1946311891078949,0.5852792263031006,13.466325759887695,144.35406494140625
240,2,0.9975166666666667,0.9865,0.20401956140995026,0.15498171746730804,0.5559577345848083,13.407766342163086,174.58795166015625
250,2,0.9981166666666667,0.9819,0.1485144942998886,0.14519907534122467,0.539005696773529,13.359367370605469,207.93582153320312
260,2,0.9982,0.9846,0.1270219385623932,0.12049396336078644,0.5149698853492737,13.299128532409668,249.05686950683594
270,2,0.99745,0.9824,0.14086966216564178,0.10452795028686523,0.49095284938812256,13.225004196166992,288.93170166015625
280,2,0.9983166666666666,0.985,0.1362914890050888,0.09841938316822052,0.47511452436447144,13.147522926330566,335.41241455078125
