epoch,phase,train,test,nc1,nc2,nc3,feat_norm,feat_norm_preln
10,1,0.9873,0.9699,,,,,
20,1,0.9862666666666666,0.9644,,,,,
30,1,0.9940833333333333,0.9757,0.2589789927005768,0.07619504630565643,0.058028221130371094,13.13161849975586,36.9623908996582
40,1,0.98995,0.973,0.2963945269584656,0.10601486265659332,0.07436370849609375,13.227169036865234,41.52450180053711
50,1,0.9965166666666667,0.9808,0.2776831388473511,0.07212751358747482,0.05981409549713135,13.363722801208496,46.134708404541016
60,1,0.9978166666666667,0.9827,0.25653505325317383,0.07686235010623932,0.06092625856399536,13.538318634033203,51.6067008972168
70,1,0.9987166666666667,0.9823,0.2520865797996521,0.06392329186201096,0.05821913480758667,13.603433609008789,56.20002746582031
80,1,0.99925,0.9842,0.2543458342552185,0.06994374096393585,0.05892503261566162,13.698558807373047,60.80404281616211
90,1,1.0,0.9889,0.20288705825805664,0.05048271268606186,0.050403594970703125,13.817015647888184,65.54618072509766
100,1,1.0,0.9894,0.18604381382465363,0.04352100193500519,0.04732722043991089,13.857967376708984,67.08051300048828
110,1,1.0,0.9892,0.1747773438692093,0.03947243094444275,0.04524296522140503,13.89221477508545,68.16162872314453
120,1,1.0,0.9893,0.1655549705028534,0.03661882504820824,0.04357588291168213,13.924668312072754,69.09710693359375
130,1,1.0,0.9891,0.15754349529743195,0.035073887556791306,0.0421757698059082,13.956489562988281,69.96527862548828
140,1,1.0,0.989,0.150554820895195,0.03405652940273285,0.040980517864227295,13.988483428955078,70.7931137084961
150,1,1.0,0.989,0.14448052644729614,0.0334954597055912,0.039967894554138184,14.018731117248535,71.55479431152344
160,1,1.0,0.9891,0.13937047123908997,0.03336620703339577,0.039138615131378174,14.04615592956543,72.22566986083984
170,1,1.0,0.9891,0.135273739695549,0.033227477222681046,0.038487911224365234,14.069446563720703,72.7862319946289
180,1,1.0,0.9891,0.1323237419128418,0.033261995762586594,0.03802603483200073,14.087071418762207,73.20201110839844
190,1,1.0,0.9891,0.1306886374950409,0.033267732709646225,0.03777247667312622,14.097265243530273,73.43476867675781
200,1,1.0,0.9891,0.13031187653541565,0.03326878324151039,0.037713825702667236,14.099654197692871,73.48905181884766
210,2,0.9739833333333333,0.9708,0.9241362810134888,0.19388499855995178,0.5503628849983215,13.77846908569336,100.45740509033203
220,2,0.9851166666666666,0.981,0.6008226275444031,0.20453916490077972,0.5893786549568176,13.741284370422363,108.08406829833984
230,2,0.9921833333333333,0.9841,0.380800724029541,0.18267720937728882,0.5901201963424683,13.679823875427246,124.64763641357422
240,2,0.9978333333333333,0.9864,0.25559189915657043,0.12950953841209412,0.559822678565979,13.618722915649414,147.0561065673828
250,2,0.9990333333333333,0.9862,0.18607446551322937,0.09546777606010437,0.5501658916473389,13.567566871643066,173.49777221679688
260,2,0.9997833333333334,0.9846,0.1420629471540451,0.07433003932237625,0.5206478238105774,13.512158393859863,200.7744140625
270,2,0.9992166666666666,0.9854,0.13299833238124847,0.06422828882932663,0.524621844291687,13.444441795349121,231.22177124023438
280,2,0.999,0.9844,0.1268540471792221,0.056893058121204376,0.5164650678634644,13.370741844177246,265.8673095703125
290,2,0.9984333333333333,0.9825,0.12816891074180603,0.058380287140607834,0.5069490075111389,13.301778793334961,297.64599609375
300,2,0.9969,0.9833,0.12416411191225052,0.06071033328771591,0.5013159513473511,13.230379104614258,331.7223815917969
310,2,0.99745,0.9834,0.11056283116340637,0.06207793205976486,0.5047748684883118,13.174063682556152,361.1520080566406
320,2,0.99835,0.9835,0.10852042585611343,0.06686148047447205,0.5129002332687378,13.113941192626953,386.9710388183594
330,2,0.9982833333333333,0.9828,0.09967447072267532,0.07087074965238571,0.5099955797195435,13.059956550598145,416.1347351074219
340,2,0.9988666666666667,0.9854,0.09420508146286011,0.06412343680858612,0.5181823372840881,13.009493827819824,439.5555419921875
350,2,0.9995833333333334,0.988,0.08972052484750748,0.06337870657444,0.5074709057807922,12.962423324584961,458.41485595703125
360,2,0.9994333333333333,0.988,0.0778651088476181,0.06808944791555405,0.51356440782547,12.9209623336792,478.2645263671875
370,2,0.9999333333333333,0.9884,0.07173711806535721,0.06904415786266327,0.512873113155365,12.880476951599121,501.548095703125
380,2,0.99845,0.9845,0.09454195946455002,0.05948276072740555,0.5221443176269531,12.837291717529297,511.683837890625
390,2,0.99945,0.9867,0.08215624839067459,0.05564914271235466,0.506230354309082,12.803399085998535,529.3814086914062
400,2,0.9997333333333334,0.9861,0.07404810190200806,0.06277678161859512,0.5128132104873657,12.762002944946289,550.0407104492188
410,2,0.9999833333333333,0.9886,0.05853557214140892,0.06309990584850311,0.49681687355041504,12.740551948547363,572.0645751953125
420,2,0.9999833333333333,0.9893,0.04812280461192131,0.060993392020463943,0.48291414976119995,12.714295387268066,588.6371459960938
430,2,0.9998666666666667,0.9869,0.06548214703798294,0.06083570048213005,0.481542706489563,12.668874740600586,607.637451171875
440,2,0.9999666666666667,0.9886,0.052418071776628494,0.06321989744901657,0.47206294536590576,12.658421516418457,623.388916015625
450,2,0.9999833333333333,0.9893,0.04616081342101097,0.0622306726872921,0.4635027050971985,12.638493537902832,636.387451171875
460,2,0.9999833333333333,0.9888,0.04103081300854683,0.06100693345069885,0.4547034502029419,12.619904518127441,646.6686401367188
470,2,0.9999833333333333,0.9888,0.037534501403570175,0.06019435450434685,0.4453997015953064,12.602190971374512,655.09521484375
480,2,0.9999833333333333,0.9874,0.0558304600417614,0.06426693499088287,0.47041600942611694,12.579588890075684,644.3223876953125
490,2,1.0,0.9881,0.046093765646219254,0.06314276158809662,0.463113009929657,12.567583084106445,661.9070434570312
500,2,1.0,0.9887,0.03923753648996353,0.06287772208452225,0.45774394273757935,12.554341316223145,671.7252807617188
510,2,0.9999833333333333,0.9881,0.0605812668800354,0.06282704323530197,0.4673715829849243,12.531545639038086,660.0218505859375
520,2,1.0,0.9883,0.049342405050992966,0.06271275132894516,0.46300798654556274,12.526634216308594,678.1925048828125
530,2,1.0,0.9882,0.04272704944014549,0.06158888712525368,0.4576464295387268,12.516779899597168,689.3917846679688
540,2,1.0,0.9882,0.037479549646377563,0.060548052191734314,0.4512609839439392,12.507466316223145,697.812255859375
550,2,0.9999666666666667,0.987,0.05631973221898079,0.06671140342950821,0.47066831588745117,12.494829177856445,677.7066040039062
560,2,1.0,0.9883,0.04817235842347145,0.06590535491704941,0.4648386240005493,12.49096965789795,691.7417602539062
570,2,1.0,0.988,0.04300718754529953,0.06511778384447098,0.4611222743988037,12.484569549560547,701.6118774414062
580,2,1.0,0.9884,0.0386192761361599,0.06437664479017258,0.4568907618522644,12.478593826293945,708.7030639648438
590,2,1.0,0.9882,0.03469204902648926,0.06357622891664505,0.45299363136291504,12.474278450012207,714.52734375
600,2,0.99835,0.9847,0.05909697711467743,0.059858597815036774,0.4434620141983032,12.465958595275879,697.1866455078125
610,2,1.0,0.9895,0.04549207165837288,0.06429990381002426,0.45845359563827515,12.466154098510742,709.6346435546875
620,2,1.0,0.9895,0.04178323969244957,0.0644024983048439,0.45664459466934204,12.464407920837402,716.1870727539062
630,2,1.0,0.9895,0.03852863609790802,0.0642072781920433,0.45452880859375,12.462599754333496,721.8893432617188
640,2,1.0,0.9897,0.03545359522104263,0.06395457684993744,0.4523175358772278,12.460993766784668,726.6036376953125
650,2,1.0,0.9895,0.03245434910058975,0.06356774270534515,0.4500488042831421,12.459720611572266,730.4959716796875
660,2,1.0,0.9895,0.029593095183372498,0.06328736245632172,0.44784247875213623,12.45868968963623,733.6890869140625
670,2,1.0,0.9895,0.026971960440278053,0.06297712028026581,0.44587457180023193,12.457786560058594,736.23486328125
680,2,1.0,0.9894,0.024624696001410484,0.06273521482944489,0.4440065622329712,12.45711898803711,738.2966918945312
690,2,1.0,0.989,0.027772385627031326,0.0640188604593277,0.4480656385421753,12.456841468811035,735.1836547851562
700,2,1.0,0.9894,0.0269492045044899,0.0642431303858757,0.44688498973846436,12.456685066223145,736.7874145507812
710,2,1.0,0.9897,0.026170404627919197,0.06425847858190536,0.44608640670776367,12.456454277038574,738.5657348632812
720,2,1.0,0.9897,0.025383593514561653,0.06423585116863251,0.4453989267349243,12.456239700317383,740.0756225585938
730,2,1.0,0.9896,0.024598028510808945,0.06418074667453766,0.4447842836380005,12.456067085266113,741.394287109375
740,2,1.0,0.9897,0.023849347606301308,0.0641162246465683,0.44413286447525024,12.455899238586426,742.4539794921875
750,2,1.0,0.9895,0.023159243166446686,0.06409258395433426,0.44346439838409424,12.455777168273926,743.3106689453125
760,2,1.0,0.9893,0.022575831040740013,0.06408531218767166,0.4429457187652588,12.455660820007324,743.9728393554688
770,2,1.0,0.9893,0.022134510800242424,0.06409187614917755,0.4425387382507324,12.455574989318848,744.431884765625
780,2,1.0,0.9893,0.02185247279703617,0.06409215927124023,0.4422779083251953,12.45551872253418,744.7000122070312
790,2,1.0,0.9893,0.02172204479575157,0.06409043073654175,0.44212883710861206,12.455491065979004,744.8143920898438
800,2,1.0,0.9893,0.021698931232094765,0.06409052014350891,0.44210535287857056,12.455485343933105,744.8365478515625
