epoch,phase,train,test,nc1,nc2,nc3,feat_norm
10,1,0.77792,0.5264,,,,
20,1,0.91794,0.5116,,,,
30,1,0.96476,0.5332,,,,
40,1,0.97534,0.5227,,,,
50,1,0.97978,0.522,,,,
60,1,0.97608,0.522,,,,
70,1,0.98728,0.5349,,,,
80,1,0.99244,0.5374,1.676060676574707,0.2593761384487152,0.4583444595336914,40.30509567260742
90,1,0.99662,0.5394,1.565797209739685,0.2699752449989319,0.4393231272697449,40.55555725097656
100,1,0.99216,0.5362,1.5895215272903442,0.25546425580978394,0.4311724305152893,36.0065803527832
110,1,0.99562,0.5392,1.4839575290679932,0.26545822620391846,0.4060552716255188,36.00542449951172
120,1,0.99882,0.5459,1.4546912908554077,0.2572428584098816,0.37620943784713745,34.53704833984375
130,1,1.0,0.5561,1.3060463666915894,0.2703152894973755,0.35465943813323975,34.896949768066406
140,1,1.0,0.5567,1.3762586116790771,0.28314104676246643,0.32649821043014526,39.452659606933594
150,1,0.99996,0.5515,1.2551580667495728,0.28613176941871643,0.3038559556007385,27.906185150146484
160,1,1.0,0.5547,1.3125030994415283,0.30310267210006714,0.290865421295166,37.17672348022461
170,1,1.0,0.5603,1.335216999053955,0.3120412230491638,0.28273171186447144,37.44459915161133
180,1,1.0,0.5595,1.3302487134933472,0.31848201155662537,0.27331191301345825,37.05167007446289
190,1,1.0,0.5605,1.3164007663726807,0.32278314232826233,0.26727229356765747,36.63105773925781
200,1,1.0,0.5609,1.3122369050979614,0.32377132773399353,0.26586025953292847,36.52006530761719
210,2,0.5605,0.496,2.461533308029175,0.40709033608436584,0.75504469871521,2.488645553588867
220,2,0.71004,0.5348,1.1533641815185547,0.3086993098258972,0.668944776058197,2.092721939086914
230,2,0.82818,0.5393,0.6705101728439331,0.23104526102542877,0.5933328866958618,1.9375709295272827
240,2,0.88844,0.5404,0.5149179100990295,0.1766223907470703,0.5380938053131104,1.8682020902633667
250,2,0.89138,0.5267,0.4732317328453064,0.17142686247825623,0.5127854347229004,1.7622729539871216
260,2,0.89422,0.5407,0.4436304271221161,0.1610121876001358,0.480427086353302,1.6643449068069458
270,2,0.8844,0.543,0.4439607858657837,0.1379045844078064,0.447157084941864,1.508498191833496
280,2,0.87266,0.5245,0.45338866114616394,0.1280539482831955,0.40492552518844604,1.3884583711624146
290,2,0.89318,0.5392,0.4012729525566101,0.10787898302078247,0.3652629852294922,1.3277041912078857
300,2,0.88372,0.5346,0.43900343775749207,0.10173752158880234,0.3323022723197937,1.2315442562103271
310,2,0.89894,0.5392,0.4167853593826294,0.08601503819227219,0.3246814012527466,1.208250880241394
320,2,0.9112,0.5352,0.3813866674900055,0.08197109401226044,0.2985517382621765,1.171993374824524
330,2,0.90902,0.5377,0.39288318157196045,0.07606033980846405,0.2931121587753296,1.1367133855819702
340,2,0.91974,0.5358,0.3789134919643402,0.06466081738471985,0.2849443554878235,1.1081992387771606
350,2,0.91258,0.5312,0.39219945669174194,0.06851605325937271,0.29478347301483154,1.0904009342193604
360,2,0.93972,0.5337,0.3472816050052643,0.05579821392893791,0.29697853326797485,1.08353853225708
370,2,0.94106,0.5375,0.3325352966785431,0.056778326630592346,0.2841072082519531,1.056848406791687
380,2,0.93632,0.5329,0.347024142742157,0.06014489755034447,0.3018057942390442,1.0503864288330078
390,2,0.92574,0.5283,0.36088934540748596,0.06284496933221817,0.3072856068611145,1.033896565437317
400,2,0.95214,0.5399,0.3102070391178131,0.06222827732563019,0.2965139150619507,1.030029058456421
410,2,0.95106,0.539,0.29670509696006775,0.051124975085258484,0.2825692296028137,1.0037727355957031
420,2,0.96458,0.5365,0.2482277899980545,0.04911171272397041,0.26796579360961914,0.9748706221580505
430,2,0.96406,0.5361,0.25456058979034424,0.04863234609365463,0.25646430253982544,0.9602146744728088
440,2,0.96008,0.5374,0.25499239563941956,0.05728394165635109,0.24230438470840454,0.9381073117256165
450,2,0.97126,0.5412,0.21927538514137268,0.04835603013634682,0.23159676790237427,0.9282591342926025
460,2,0.97918,0.5429,0.18398749828338623,0.045745935291051865,0.20430713891983032,0.9015019536018372
470,2,0.98068,0.5472,0.15798500180244446,0.047329381108284,0.17407751083374023,0.883732795715332
480,2,0.98312,0.5468,0.13279515504837036,0.046950988471508026,0.13447368144989014,0.8589639067649841
490,2,0.9876,0.5535,0.09514454752206802,0.04068390652537346,0.10143810510635376,0.8489223122596741
500,2,0.98984,0.554,0.07650499045848846,0.041489288210868835,0.0806763768196106,0.846268355846405
510,2,0.99104,0.5563,0.06399077922105789,0.042577844113111496,0.06753271818161011,0.8427822589874268
520,2,0.99122,0.5574,0.05504940450191498,0.04119803383946419,0.053211510181427,0.8342179656028748
530,2,0.99148,0.5552,0.04992067068815231,0.04092656821012497,0.048575758934020996,0.8289285898208618
540,2,0.99182,0.5573,0.04125233739614487,0.03949975594878197,0.043165743350982666,0.8300826549530029
550,2,0.99198,0.5574,0.04133729636669159,0.03996894136071205,0.03972679376602173,0.822242796421051
560,2,0.99224,0.5551,0.03823685273528099,0.039969295263290405,0.03747272491455078,0.8160354495048523
570,2,0.9923,0.5549,0.03727618232369423,0.03886808827519417,0.033917784690856934,0.8067707419395447
580,2,0.99194,0.5481,0.04129646345973015,0.039251040667295456,0.028737127780914307,0.7918634414672852
590,2,0.99242,0.5561,0.033177390694618225,0.03924674168229103,0.026341617107391357,0.7987856268882751
600,2,0.99204,0.5494,0.04348679631948471,0.0388956218957901,0.02213197946548462,0.7910223007202148
610,2,0.99252,0.5523,0.03338204696774483,0.03740818426012993,0.019217491149902344,0.795647382736206
620,2,0.99278,0.5544,0.02560911700129509,0.03593352064490318,0.016408801078796387,0.8049110770225525
630,2,0.9928,0.5564,0.024954695254564285,0.03458027541637421,0.01460731029510498,0.8054056763648987
640,2,0.99286,0.5579,0.024017848074436188,0.03410603106021881,0.013351500034332275,0.8100980520248413
650,2,0.99286,0.5537,0.023395441472530365,0.03320085257291794,0.01237475872039795,0.8108265995979309
660,2,0.99286,0.5545,0.02229299023747444,0.032891593873500824,0.011575281620025635,0.8111110925674438
670,2,0.99294,0.5541,0.02078813500702381,0.032809484750032425,0.010737597942352295,0.8139898180961609
680,2,0.99296,0.5555,0.019626377150416374,0.0313650518655777,0.009859085083007812,0.8170202970504761
690,2,0.99304,0.5522,0.018762098625302315,0.030777106061577797,0.009496688842773438,0.8188133239746094
700,2,0.99304,0.5548,0.01738869957625866,0.03003500960767269,0.009161174297332764,0.8201138973236084
710,2,0.99314,0.5558,0.01769791729748249,0.02978667803108692,0.008760631084442139,0.8234428763389587
720,2,0.99316,0.5548,0.01688864454627037,0.029562903568148613,0.008592188358306885,0.8240001201629639
730,2,0.99316,0.5522,0.016195189207792282,0.028869958594441414,0.008346378803253174,0.8259021639823914
740,2,0.99312,0.5518,0.0160312969237566,0.028747374191880226,0.008182525634765625,0.8265073299407959
750,2,0.99318,0.5533,0.015707101672887802,0.028468752279877663,0.008065581321716309,0.8277552723884583
760,2,0.99322,0.5526,0.015541275963187218,0.0284247025847435,0.00800168514251709,0.8277994394302368
770,2,0.99326,0.5535,0.01549425907433033,0.02831948921084404,0.007945060729980469,0.8284569978713989
780,2,0.99326,0.5532,0.015434048138558865,0.02822648175060749,0.007922232151031494,0.8288268446922302
790,2,0.99328,0.5524,0.015400201082229614,0.02827560156583786,0.007918715476989746,0.8287999629974365
800,2,0.99328,0.5531,0.015389282256364822,0.0282254908233881,0.00791013240814209,0.828852117061615
