epoch,phase,train,test,nc1,nc2,nc3,feat_norm
10,1,0.9890666666666666,0.9748,,,,
20,1,0.9931166666666666,0.9775,0.3892727792263031,0.15201613306999207,0.3037415146827698,25.726591110229492
30,1,0.9964333333333333,0.981,0.2887346148490906,0.15193992853164673,0.23301708698272705,22.92890167236328
40,1,0.99625,0.9819,0.24299854040145874,0.15179800987243652,0.1907663345336914,21.3350772857666
50,1,0.9993666666666666,0.9851,0.20092949271202087,0.1653812676668167,0.1520807147026062,20.463428497314453
60,1,0.9985666666666667,0.9824,0.19668547809123993,0.17447450757026672,0.13771170377731323,19.023113250732422
70,1,0.999,0.984,0.19039304554462433,0.17365364730358124,0.12115460634231567,17.66868782043457
80,1,0.9979333333333333,0.9833,0.18508295714855194,0.1732887178659439,0.1055634617805481,15.733354568481445
90,1,0.9999833333333333,0.9869,0.1691204458475113,0.1810213327407837,0.08452063798904419,17.003620147705078
100,1,1.0,0.9866,0.16916905343532562,0.18695278465747833,0.07847845554351807,16.273279190063477
110,1,1.0,0.9868,0.16711769998073578,0.18713639676570892,0.07632476091384888,15.79117488861084
120,1,1.0,0.9859,0.16741721332073212,0.19343096017837524,0.07196760177612305,15.359437942504883
130,1,1.0,0.9866,0.1651487797498703,0.19149400293827057,0.06709593534469604,15.08523941040039
140,1,0.9998666666666667,0.9849,0.16469109058380127,0.18674373626708984,0.063446044921875,13.613012313842773
150,1,1.0,0.9859,0.16847854852676392,0.2012290060520172,0.06461572647094727,14.304545402526855
160,1,1.0,0.9863,0.16842535138130188,0.20473696291446686,0.06333637237548828,14.460987091064453
170,1,1.0,0.9858,0.17203594744205475,0.20873361825942993,0.0637248158454895,14.384434700012207
180,1,1.0,0.9852,0.17409852147102356,0.21252766251564026,0.06422585248947144,14.490696907043457
190,1,1.0,0.9857,0.17609429359436035,0.21417079865932465,0.06453007459640503,14.595951080322266
200,1,1.0,0.9854,0.1762218475341797,0.21426819264888763,0.06446951627731323,14.601314544677734
210,2,0.9912166666666666,0.9793,0.07293222844600677,0.1848398596048355,0.7272082567214966,2.640115976333618
220,2,0.9962333333333333,0.9815,0.06395017355680466,0.16289792954921722,0.5997774004936218,1.8154252767562866
230,2,0.99615,0.9821,0.06082503870129585,0.13819873332977295,0.48114728927612305,1.4807437658309937
240,2,0.9944,0.9811,0.05613391473889351,0.12033311277627945,0.30984294414520264,1.2877187728881836
250,2,0.9944166666666666,0.9832,0.05803339183330536,0.10339543968439102,0.17858600616455078,1.2133692502975464
260,2,0.9927833333333334,0.977,0.05978884547948837,0.0930127426981926,0.16737401485443115,1.1775484085083008
270,2,0.9946,0.9833,0.051373470574617386,0.08334796875715256,0.14188098907470703,1.123792290687561
280,2,0.9937833333333334,0.9814,0.054261352866888046,0.07391393929719925,0.1390625238418579,1.1041797399520874
290,2,0.99545,0.9827,0.04357340559363365,0.07344230264425278,0.13227474689483643,1.0991241931915283
