epoch,train,nc1,nc2,nc3,feat_norm
10,0.99595,0.2971542477607727,0.151903435587883,0.3973255753517151,26.074199676513672
20,0.9964833333333334,0.15554927289485931,0.13383083045482635,0.31533461809158325,24.789464950561523
30,0.99925,0.11450755596160889,0.12397997081279755,0.236375629901886,21.985347747802734
40,0.99775,0.10094241797924042,0.1116749569773674,0.18907630443572998,19.518688201904297
50,0.9988333333333334,0.0902303084731102,0.12299641966819763,0.141773521900177,20.10136604309082
60,0.99845,0.08741573244333267,0.11605962365865707,0.1165456771850586,18.41457176208496
70,0.9993166666666666,0.07367262244224548,0.12297376990318298,0.08972936868667603,19.518850326538086
80,1.0,0.08169759064912796,0.14850245416164398,0.062281787395477295,20.020816802978516
90,1.0,0.06880290806293488,0.12446969747543335,0.059909164905548096,19.2418270111084
100,0.9914833333333334,0.1063186377286911,0.14046506583690643,0.06173914670944214,14.69402027130127
110,1.0,0.0778457447886467,0.15731960535049438,0.051203250885009766,18.947046279907227
120,1.0,0.0776662603020668,0.14994606375694275,0.050632476806640625,18.91413688659668
130,1.0,0.09515594691038132,0.17432034015655518,0.05334794521331787,18.822410583496094
140,1.0,0.0865817591547966,0.17022408545017242,0.05290400981903076,19.201171875
150,1.0,0.10340815037488937,0.18985380232334137,0.058392345905303955,18.88022232055664
160,1.0,0.10965403914451599,0.19515253603458405,0.058240294456481934,18.463539123535156
170,1.0,0.11499597877264023,0.20365487039089203,0.06032979488372803,18.477590560913086
180,1.0,0.11907009035348892,0.2075098305940628,0.0612640380859375,18.59099578857422
190,1.0,0.12101953476667404,0.21023035049438477,0.062144458293914795,18.603572845458984
200,1.0,0.12146829813718796,0.21047715842723846,0.06202012300491333,18.6215877532959
210,0.9746666666666667,0.15656791627407074,0.16429445147514343,0.627471923828125,2.6258363723754883
220,0.9899166666666667,0.10268379002809525,0.12243279814720154,0.6307445764541626,2.6588704586029053
230,0.9923,0.08256487548351288,0.13455410301685333,0.6515001058578491,2.803895950317383
240,0.99575,0.07742001116275787,0.13693451881408691,0.637590765953064,2.726769208908081
250,0.9952333333333333,0.07728733122348785,0.13001510500907898,0.6076455116271973,2.613626003265381
260,0.9968333333333333,0.06545684486627579,0.1458558887243271,0.5842408537864685,2.6481568813323975
270,0.9956166666666667,0.06313037872314453,0.15118283033370972,0.524633526802063,2.560506820678711
280,0.9927833333333334,0.05814455449581146,0.17264927923679352,0.4663834571838379,2.514101028442383
290,0.9930333333333333,0.05260142311453819,0.1635144203901291,0.38487088680267334,2.489976406097412
300,0.99615,0.04879217594861984,0.15298686921596527,0.30436521768569946,2.234182596206665
