width,seed,T_NC,fn,test_acc
128,0,400,1.1433424949645996,0.9833
128,1,370,1.3513273000717163,0.9819
128,2,380,1.2269260883331299,0.9831
256,0,320,1.100200891494751,0.9815
256,1,320,1.1028656959533691,0.9816
256,2,340,1.1718229055404663,0.9829
512,0,320,1.0799918174743652,0.981
512,1,300,1.092969536781311,0.9813
512,2,310,1.1143935918807983,0.9813
1024,0,250,1.02817964553833,0.9823
1024,1,270,1.0667119026184082,0.9805
1024,2,250,1.1436588764190674,0.9806
