epoch,condition,alpha,seed,train,test,nc1,nc2,nc3,feat_norm
210,control,1.0,2,0.9807833333333333,0.9667,0.06259328126907349,0.24205586314201355,0.7288687229156494,3.0995075702667236
220,control,1.0,2,0.9931166666666666,0.9766,0.032130781561136246,0.18380585312843323,0.6028910875320435,2.0667295455932617
230,control,1.0,2,0.9955666666666667,0.9792,0.02069762535393238,0.14369024336338043,0.47860145568847656,1.5325642824172974
240,control,1.0,2,0.99665,0.9798,0.014907210133969784,0.12449303269386292,0.37647873163223267,1.2740044593811035
250,control,1.0,2,0.9982666666666666,0.982,0.009969647973775864,0.10958877205848694,0.28399091958999634,1.12015700340271
260,control,1.0,2,0.99785,0.9822,0.00963834673166275,0.10355735570192337,0.2077985405921936,1.0785971879959106
270,control,1.0,2,0.9964,0.9779,0.011830789968371391,0.1029118224978447,0.147879958152771,1.0501487255096436
280,control,1.0,2,0.9954666666666667,0.9798,0.01297817099839449,0.10397084057331085,0.09625387191772461,1.0881986618041992
290,control,1.0,2,0.99645,0.9801,0.010367733426392078,0.10662954300642014,0.07176834344863892,1.098710298538208
300,control,1.0,2,0.9973333333333333,0.9824,0.009623076766729355,0.10954687744379044,0.0666242241859436,1.0904780626296997
310,control,1.0,2,0.99635,0.9795,0.01179433986544609,0.1112855076789856,0.06762486696243286,1.1064378023147583
320,control,1.0,2,0.9978666666666667,0.9822,0.009287351742386818,0.11356761306524277,0.06791895627975464,1.1126797199249268
330,control,1.0,2,0.9968,0.9765,0.01082165539264679,0.11374429613351822,0.06928509473800659,1.1462067365646362
340,control,1.0,2,0.9982,0.9819,0.007311907131224871,0.1169063150882721,0.07177132368087769,1.1161555051803589
350,control,1.0,2,0.9982833333333333,0.9814,0.007439211010932922,0.11817547678947449,0.0739893913269043,1.1042832136154175
360,control,1.0,2,0.9982166666666666,0.9811,0.007280546240508556,0.11959389597177505,0.07367926836013794,1.122196912765503
370,control,1.0,2,0.9986333333333334,0.9807,0.006555161904543638,0.12063276767730713,0.07587927579879761,1.1133369207382202
380,control,1.0,2,0.9982166666666666,0.9821,0.008166464045643806,0.12195102125406265,0.07645595073699951,1.1207026243209839
390,control,1.0,2,0.9992666666666666,0.9821,0.0053559597581624985,0.1211390420794487,0.07654207944869995,1.1263982057571411
400,control,1.0,2,0.9993166666666666,0.9821,0.005277262069284916,0.12218698114156723,0.0778924822807312,1.1194127798080444
410,control,1.0,2,0.9993166666666666,0.9819,0.005649157799780369,0.12410503625869751,0.07955586910247803,1.12492835521698
420,control,1.0,2,0.9991666666666666,0.9814,0.006278386805206537,0.12457706034183502,0.08040046691894531,1.1397161483764648
430,control,1.0,2,0.9992166666666666,0.9824,0.005743922665715218,0.12551170587539673,0.08151549100875854,1.1283773183822632
440,control,1.0,2,0.9996333333333334,0.9825,0.0038559874519705772,0.12613219022750854,0.0821002721786499,1.126300573348999
450,control,1.0,2,0.9996,0.9832,0.004135909024626017,0.12726199626922607,0.08291798830032349,1.1349091529846191
460,control,1.0,2,0.9996666666666667,0.9825,0.0036856806837022305,0.12831144034862518,0.08360248804092407,1.1361333131790161
470,control,1.0,2,0.9996666666666667,0.9829,0.004041305277496576,0.12945398688316345,0.08479076623916626,1.142572045326233
480,control,1.0,2,0.9997333333333334,0.9837,0.003782712621614337,0.1298518031835556,0.08499574661254883,1.1391977071762085
490,control,1.0,2,0.9996833333333334,0.9813,0.003678808454424143,0.1312762200832367,0.08634603023529053,1.1396669149398804
500,control,1.0,2,0.9997166666666667,0.9835,0.003284527687355876,0.1323738545179367,0.08716470003128052,1.1389143466949463
510,control,1.0,2,0.9997166666666667,0.983,0.002991605782881379,0.13278567790985107,0.08756017684936523,1.1409718990325928
520,control,1.0,2,0.9997333333333334,0.983,0.0029432775918394327,0.1334933489561081,0.08812940120697021,1.1443266868591309
530,control,1.0,2,0.9997166666666667,0.984,0.002881990047171712,0.13428480923175812,0.08873796463012695,1.1456135511398315
540,control,1.0,2,0.99975,0.9838,0.0027652420103549957,0.1347629725933075,0.08912390470504761,1.1461130380630493
550,control,1.0,2,0.99975,0.9828,0.0027273197192698717,0.13518871366977692,0.08946371078491211,1.1443496942520142
560,control,1.0,2,0.99975,0.9829,0.002731689251959324,0.13548685610294342,0.08969098329544067,1.1475229263305664
570,control,1.0,2,0.99975,0.9831,0.0027280638460069895,0.13566598296165466,0.0898391604423523,1.1477367877960205
580,control,1.0,2,0.99975,0.9835,0.0027144495397806168,0.13569164276123047,0.08993273973464966,1.1474136114120483
590,control,1.0,2,0.99975,0.9832,0.0027153855189681053,0.1357882022857666,0.08998525142669678,1.147034764289856
600,control,1.0,2,0.99975,0.9832,0.0027177303563803434,0.13577240705490112,0.08996999263763428,1.1474682092666626
