condition,alpha,seed,fn_before,fn_after_rescale,T_NC,fn_at_TNC,test_acc
control,1.0,0,16.188764572143555,16.188764572143555,320,1.1083714962005615,0.983
control,1.0,1,16.62664222717285,16.62664222717285,290,1.0804526805877686,0.9828
control,1.0,2,15.920854568481445,15.920855522155762,250,1.12015700340271,0.9832
scale_down,0.3,0,16.188764572143555,4.856629848480225,320,1.1307971477508545,0.9854
scale_down,0.3,1,16.62664222717285,4.987992763519287,320,1.081362009048462,0.9854
scale_down,0.3,2,15.920854568481445,4.776257038116455,310,1.067724347114563,0.9854
scale_up,3.0,0,16.188764572143555,48.5662956237793,290,1.0045720338821411,0.9839
scale_up,3.0,1,16.62664222717285,49.87992477416992,290,1.054999589920044,0.985
scale_up,3.0,2,15.920854568481445,47.76256561279297,370,1.1031537055969238,0.9841
