epoch,train,test,nc1,nc2,nc3,feat_norm
5,0.74856,0.735,,,,
10,0.78796,0.7686,,,,
15,0.76736,0.7481,,,,
20,0.79544,0.7766,,,,
25,0.8054,0.7887,,,,
30,0.7817,0.7617,,,,
35,0.8209,0.8013,,,,
40,0.82674,0.8162,,,,
45,0.7944,0.7864,,,,
50,0.76016,0.7347,,,,
55,0.84846,0.8302,,,,
60,0.85214,0.8358,,,,
65,0.83046,0.8136,,,,
70,0.7834,0.7574,,,,
75,0.82504,0.8106,,,,
80,0.815,0.7987,,,,
85,0.8353,0.8118,,,,
90,0.80134,0.786,,,,
95,0.83418,0.8164,,,,
100,0.84358,0.8185,,,,
105,0.84234,0.8168,,,,
110,0.81472,0.7966,,,,
115,0.8405,0.8253,,,,
120,0.83088,0.8148,,,,
125,0.8446,0.8179,,,,
130,0.80568,0.7896,,,,
135,0.82402,0.8026,,,,
140,0.83842,0.8133,,,,
145,0.8366,0.8209,,,,
150,0.83186,0.8146,,,,
155,0.95004,0.9158,,,,
160,0.95846,0.9129,,,,
165,0.96242,0.9176,,,,
170,0.9627,0.9103,,,,
175,0.95962,0.9074,,,,
180,0.95906,0.9034,,,,
185,0.96454,0.9088,,,,
190,0.9582,0.9031,,,,
195,0.94964,0.8928,,,,
200,0.95954,0.9014,,,,
205,0.95046,0.8931,,,,
210,0.96448,0.9053,,,,
215,0.9524,0.8971,,,,
220,0.94818,0.8862,,,,
225,0.94642,0.8883,,,,
230,0.992,0.9229,0.27943313121795654,0.1469445377588272,0.01739633083343506,6.275306701660156
235,0.9941,0.9241,0.2733882665634155,0.13649438321590424,0.016681313514709473,6.2992024421691895
240,0.9954,0.922,0.26647746562957764,0.13548210263252258,0.017287373542785645,6.324258327484131
245,0.9964,0.9241,0.26291781663894653,0.12521140277385712,0.016990184783935547,6.3581929206848145
250,0.99696,0.9235,0.25857025384902954,0.12456396222114563,0.017087936401367188,6.322740077972412
255,0.99736,0.9251,0.25461554527282715,0.12219677120447159,0.016764461994171143,6.380951404571533
260,0.99746,0.9242,0.2530345320701599,0.11852063983678818,0.017025351524353027,6.395285606384277
265,0.99818,0.9239,0.25132668018341064,0.11583930253982544,0.017451941967010498,6.370650768280029
270,0.99828,0.9236,0.24583132565021515,0.11371243745088577,0.017500579357147217,6.370162487030029
275,0.99814,0.9256,0.24374078214168549,0.11424396187067032,0.017650723457336426,6.387382507324219
280,0.99824,0.9258,0.24195922911167145,0.11398029327392578,0.017493128776550293,6.425045490264893
285,0.9986,0.9244,0.23907825350761414,0.1129848062992096,0.018133819103240967,6.3556437492370605
290,0.99872,0.9241,0.23906947672367096,0.11036049574613571,0.01770716905593872,6.3540191650390625
295,0.99846,0.9248,0.23595254123210907,0.10674230754375458,0.01776808500289917,6.35252571105957
300,0.99884,0.926,0.23229970037937164,0.10591521859169006,0.018289387226104736,6.385798931121826
