epoch,phase,train,test,nc1,nc2,nc3,feat_norm
10,1,0.9911,0.9783,0.17695990204811096,0.13517825305461884,0.3623027801513672,28.283504486083984
20,1,0.9968166666666667,0.983,0.16479593515396118,0.13346707820892334,0.2724989652633667,24.59848403930664
30,1,0.9958833333333333,0.981,0.14362969994544983,0.11692214757204056,0.2252192497253418,24.61142921447754
40,1,0.99765,0.9813,0.1432276964187622,0.09048497676849365,0.17407798767089844,24.33067512512207
50,1,0.9979,0.9829,0.12372694909572601,0.10022042691707611,0.16113966703414917,22.4991455078125
60,1,0.9968666666666667,0.9812,0.1210630014538765,0.09434746950864792,0.13588428497314453,19.89458656311035
70,1,0.9970833333333333,0.9792,0.1142825186252594,0.09499981999397278,0.10933685302734375,17.76340675354004
80,1,0.9958666666666667,0.981,0.10482583194971085,0.09733472764492035,0.08735001087188721,18.168190002441406
90,1,0.9977833333333334,0.9822,0.10091697424650192,0.08983823657035828,0.06968945264816284,15.955734252929688
100,1,0.9999833333333333,0.9862,0.0747356191277504,0.0824756771326065,0.04020249843597412,17.765674591064453
110,1,0.9998833333333333,0.9844,0.08064012229442596,0.07709912210702896,0.03855550289154053,16.57202911376953
120,1,0.9999833333333333,0.9867,0.07031069695949554,0.07884752750396729,0.030899226665496826,16.263092041015625
130,1,0.9999833333333333,0.9858,0.07327018678188324,0.06841671466827393,0.027514278888702393,15.161334991455078
140,1,0.9994,0.9852,0.08998099714517593,0.07005812972784042,0.027489542961120605,13.368550300598145
150,1,0.9999833333333333,0.9864,0.07569649815559387,0.07216863334178925,0.02276766300201416,14.863849639892578
160,1,1.0,0.9866,0.07744692265987396,0.07411005347967148,0.021873295307159424,14.572007179260254
170,1,1.0,0.9861,0.08100749552249908,0.07767324149608612,0.02217388153076172,14.25029468536377
180,1,1.0,0.9871,0.08395230770111084,0.08216087520122528,0.022803306579589844,14.095499992370605
190,1,1.0,0.9863,0.0856630876660347,0.08507263660430908,0.023393630981445312,14.137081146240234
200,1,1.0,0.9864,0.08598414808511734,0.08573149889707565,0.02357006072998047,14.14106273651123
210,2,0.99525,0.9814,0.015791164711117744,0.04532373324036598,0.03927642107009888,0.9465188384056091
220,2,0.9983,0.9827,0.010606979951262474,0.04622497037053108,0.02967357635498047,0.9265882968902588
230,2,0.9967333333333334,0.9841,0.011949792504310608,0.050061505287885666,0.022838711738586426,0.9552327394485474
240,2,0.9923833333333333,0.9775,0.017654845491051674,0.05013212561607361,0.01931607723236084,0.9818205833435059
250,2,0.9915,0.9781,0.017970487475395203,0.059922002255916595,0.0236128568649292,1.0243226289749146
260,2,0.9938833333333333,0.9824,0.013752375729382038,0.07439286261796951,0.03494107723236084,1.0463560819625854
270,2,0.9928166666666667,0.9796,0.015326731838285923,0.0837627574801445,0.04293948411941528,1.054373025894165
280,2,0.99455,0.981,0.012640293687582016,0.08814118802547455,0.04845094680786133,1.0791181325912476
290,2,0.9942,0.9803,0.01350942812860012,0.08921301364898682,0.05187779664993286,1.078916072845459
300,2,0.9929666666666667,0.979,0.014042114838957787,0.08992146700620651,0.0525054931640625,1.096858024597168
310,2,0.9942333333333333,0.9813,0.013078251853585243,0.09101197868585587,0.052898406982421875,1.0941259860992432
320,2,0.99385,0.9802,0.013254968449473381,0.09431903809309006,0.054437458515167236,1.1044185161590576
330,2,0.9956833333333334,0.9799,0.010521301068365574,0.09834226220846176,0.056758880615234375,1.1277025938034058
340,2,0.9947,0.9803,0.011570285074412823,0.10081848502159119,0.058827996253967285,1.1093109846115112
350,2,0.9959333333333333,0.9805,0.009841981343925,0.10425540059804916,0.06175118684768677,1.1168649196624756
