epoch,train,test,nc1,nc2,nc3,feat_norm
20,0.9956666666666667,0.9786,0.19634588062763214,0.13794957101345062,0.30856698751449585,24.740175247192383
40,0.9978166666666667,0.9817,0.13266412913799286,0.12466944009065628,0.1745780110359192,21.892730712890625
60,0.99645,0.9788,0.1245550885796547,0.11312506347894669,0.09975147247314453,17.254680633544922
80,0.99955,0.9836,0.0914536714553833,0.11509726941585541,0.06229722499847412,18.41985511779785
100,0.9989,0.9828,0.10106295347213745,0.10422402620315552,0.04928785562515259,15.33272933959961
120,0.99895,0.9848,0.09820141643285751,0.1063242182135582,0.036404430866241455,15.720026969909668
140,0.9994,0.9852,0.08223619312047958,0.10712740570306778,0.028227686882019043,14.509296417236328
160,1.0,0.9858,0.07608789205551147,0.1015237420797348,0.023653388023376465,14.939810752868652
180,0.99845,0.9833,0.08915553987026215,0.1005934625864029,0.027943968772888184,14.71536922454834
200,0.9995333333333334,0.9849,0.08702371269464493,0.10448193550109863,0.022324562072753906,14.579984664916992
220,0.9990666666666667,0.9839,0.0965021550655365,0.10785062611103058,0.024970054626464844,14.091029167175293
240,0.9989,0.9825,0.09405235946178436,0.11043596267700195,0.024534523487091064,12.757837295532227
260,0.9932833333333333,0.9771,0.10374007374048233,0.11495840549468994,0.027953505516052246,11.409770965576172
280,0.9972666666666666,0.9823,0.09295076131820679,0.11177296191453934,0.027429580688476562,12.321374893188477
300,1.0,0.9854,0.08659966289997101,0.1280507594347,0.028164446353912354,13.637386322021484
320,1.0,0.9858,0.08450233191251755,0.13031019270420074,0.029380202293395996,13.942367553710938
340,1.0,0.9856,0.08239802718162537,0.12836751341819763,0.028213024139404297,14.012697219848633
360,1.0,0.9851,0.0826055184006691,0.12501606345176697,0.02672368288040161,13.570076942443848
380,1.0,0.9848,0.09234234690666199,0.14697736501693726,0.03421294689178467,13.921281814575195
400,1.0,0.9845,0.0921827033162117,0.15001925826072693,0.036747753620147705,14.036406517028809
420,1.0,0.9848,0.09270332753658295,0.1513952910900116,0.037027060985565186,14.295223236083984
440,0.9998333333333334,0.9834,0.09238572418689728,0.14618389308452606,0.031355440616607666,12.63564395904541
460,1.0,0.9851,0.09913533180952072,0.1704234778881073,0.042181193828582764,14.446417808532715
480,1.0,0.9856,0.10372720658779144,0.18207548558712006,0.04610973596572876,14.853081703186035
500,1.0,0.9857,0.10416169464588165,0.18721157312393188,0.047418177127838135,14.97360897064209
520,1.0,0.9851,0.10774248838424683,0.1964353322982788,0.0501173734664917,15.314929008483887
540,1.0,0.985,0.11059240251779556,0.2034313678741455,0.05240422487258911,15.609241485595703
560,1.0,0.985,0.11239449679851532,0.2076379656791687,0.053612709045410156,15.793309211730957
580,1.0,0.9848,0.11339207738637924,0.20953728258609772,0.05441892147064209,15.88161563873291
600,1.0,0.9848,0.1135188415646553,0.20980392396450043,0.054523348808288574,15.897586822509766
