epoch,train,test,nc1,nc2,nc3,feat_norm
5,0.72392,0.7222,,,,
10,0.71318,0.6895,,,,
15,0.80226,0.7951,,,,
20,0.63418,0.613,,,,
25,0.72384,0.7109,,,,
30,0.67346,0.6514,,,,
35,0.71952,0.6992,,,,
40,0.75596,0.7484,,,,
45,0.76398,0.7415,,,,
50,0.72812,0.7109,,,,
55,0.76404,0.7524,,,,
60,0.67924,0.6467,,,,
65,0.80062,0.7848,,,,
70,0.7734,0.7584,,,,
75,0.76736,0.7621,,,,
80,0.76656,0.757,,,,
85,0.76496,0.7548,,,,
90,0.8077,0.7997,,,,
95,0.7162,0.7151,,,,
100,0.7961,0.7817,,,,
105,0.7001,0.6888,,,,
110,0.75576,0.7494,,,,
115,0.77338,0.7531,,,,
120,0.71652,0.7013,,,,
125,0.74482,0.7293,,,,
130,0.6142,0.6121,,,,
135,0.75178,0.7385,,,,
140,0.74594,0.7153,,,,
145,0.78078,0.7799,,,,
150,0.75282,0.7406,,,,
155,0.9259,0.9009,,,,
160,0.9324,0.8973,,,,
165,0.9214,0.8796,,,,
170,0.9039,0.858,,,,
175,0.93108,0.8888,,,,
180,0.93166,0.8868,,,,
185,0.93336,0.8831,,,,
190,0.92464,0.8749,,,,
195,0.9197,0.8749,,,,
200,0.91898,0.8784,,,,
205,0.92728,0.8801,,,,
210,0.91802,0.8777,,,,
215,0.92784,0.8825,,,,
220,0.92356,0.8775,,,,
225,0.94362,0.892,,,,
230,0.98116,0.917,,,,
235,0.98488,0.9197,,,,
240,0.98804,0.9219,,,,
245,0.99026,0.9219,0.2382909208536148,0.13082614541053772,0.010955989360809326,5.724420070648193
250,0.9908,0.9204,0.2309846729040146,0.1309223473072052,0.011333107948303223,5.779365062713623
255,0.99182,0.9209,0.22691933810710907,0.12535360455513,0.011684775352478027,5.7623610496521
260,0.9925,0.9178,0.22556017339229584,0.11995749920606613,0.012054622173309326,5.730915069580078
265,0.99384,0.9201,0.22078251838684082,0.11790252476930618,0.011299431324005127,5.794556140899658
270,0.99378,0.918,0.21681345999240875,0.12327571213245392,0.012172341346740723,5.790236473083496
275,0.99356,0.9177,0.2158079445362091,0.11968953907489777,0.01207268238067627,5.716593265533447
280,0.99438,0.9174,0.2115449458360672,0.11830222606658936,0.012613177299499512,5.808128833770752
285,0.99482,0.9161,0.2114419788122177,0.1226249486207962,0.013334572315216064,5.7949981689453125
290,0.99522,0.9181,0.2064562886953354,0.12054018676280975,0.01271975040435791,5.760346412658691
295,0.99538,0.9182,0.20349794626235962,0.1194310262799263,0.013473868370056152,5.7428975105285645
300,0.99558,0.9165,0.20537108182907104,0.11743579804897308,0.013411879539489746,5.735937595367432
