epoch,phase,train,test,nc1,nc2,nc3,feat_norm
10,1,0.99375,0.9786,0.21513532102108002,0.15035375952720642,0.36159735918045044,26.775846481323242
20,1,0.9966,0.9823,0.15797753632068634,0.11143200099468231,0.2537963390350342,24.598974227905273
30,1,0.9974666666666666,0.9835,0.13746961951255798,0.09685280919075012,0.17493724822998047,22.369224548339844
40,1,0.9961333333333333,0.9812,0.12635403871536255,0.0951685830950737,0.14035844802856445,20.8129825592041
50,1,0.9989,0.984,0.10880372673273087,0.09248307347297668,0.10249108076095581,19.784908294677734
60,1,0.9987833333333334,0.9833,0.11203131824731827,0.0955115333199501,0.08503353595733643,18.802349090576172
70,1,0.9986833333333334,0.9837,0.10685054212808609,0.09850309044122696,0.07034242153167725,18.09047508239746
80,1,0.9996,0.9844,0.09561330825090408,0.09137166291475296,0.051966309547424316,17.235265731811523
90,1,0.9999833333333333,0.9859,0.08725257217884064,0.09145939350128174,0.04418957233428955,16.582735061645508
100,1,0.9997166666666667,0.9846,0.09415930509567261,0.09495554864406586,0.04160201549530029,15.530119895935059
110,1,0.9998666666666667,0.9856,0.08672225475311279,0.09298548102378845,0.03589904308319092,15.321189880371094
120,1,1.0,0.9864,0.08136338740587234,0.09559044241905212,0.032546043395996094,15.248454093933105
130,1,0.99915,0.9839,0.09016909450292587,0.09413503110408783,0.0332341194152832,13.005457878112793
140,1,1.0,0.9858,0.08896012604236603,0.10877787321805954,0.03247004747390747,14.443310737609863
150,1,1.0,0.986,0.08836336433887482,0.11085136234760284,0.03259575366973877,14.382903099060059
160,1,1.0,0.9855,0.09557892382144928,0.12201934307813644,0.03490126132965088,14.167733192443848
170,1,1.0,0.9859,0.09900618344545364,0.12943996489048004,0.03662979602813721,14.080726623535156
180,1,1.0,0.9854,0.10305044054985046,0.13797663152217865,0.03990304470062256,14.161861419677734
190,1,1.0,0.9856,0.10444248467683792,0.14088933169841766,0.04059171676635742,14.22055435180664
200,1,1.0,0.9857,0.10489903390407562,0.1415875107049942,0.04084300994873047,14.241558074951172
210,2,0.9903166666666666,0.9773,0.0359601266682148,0.11156842857599258,0.37247735261917114,1.2346971035003662
220,2,0.9942666666666666,0.9802,0.01908690482378006,0.0780860185623169,0.21630030870437622,1.0091588497161865
230,2,0.9934833333333334,0.9798,0.018547482788562775,0.07799619436264038,0.11776340007781982,0.9215329885482788
240,2,0.9927666666666667,0.9804,0.017787069082260132,0.08353015035390854,0.06194859743118286,0.9909171462059021
250,2,0.9921333333333333,0.9794,0.01742643676698208,0.08762061595916748,0.04845714569091797,1.0453473329544067
260,2,0.9949666666666667,0.9798,0.013910040259361267,0.08958546072244644,0.048189640045166016,1.0567426681518555
270,2,0.9935,0.9804,0.016684288159012794,0.09034133702516556,0.05077540874481201,1.0614242553710938
280,2,0.9954166666666666,0.9833,0.012465710751712322,0.08818952739238739,0.048363685607910156,1.058152437210083
290,2,0.9951666666666666,0.9803,0.01278308779001236,0.08957139402627945,0.048938095569610596,1.0437686443328857
300,2,0.99415,0.9806,0.014631534926593304,0.09221569448709488,0.050643086433410645,1.0499628782272339
310,2,0.99715,0.9817,0.009676170535385609,0.09126514941453934,0.050515949726104736,1.062783122062683
