epoch,phase,train,test,nc1,nc2,nc3,feat_norm
10,1,0.99475,0.9771,0.5380823612213135,0.15301229059696198,0.36140382289886475,27.994367599487305
20,1,0.9953,0.9803,0.3731103539466858,0.14569097757339478,0.304256796836853,25.227798461914062
30,1,0.9967166666666667,0.981,0.29144594073295593,0.1351594179868698,0.24622619152069092,23.763839721679688
40,1,0.9991666666666666,0.9848,0.24775215983390808,0.16040824353694916,0.19764292240142822,21.275489807128906
50,1,0.9979,0.982,0.21676312386989594,0.15876466035842896,0.1751641035079956,20.004018783569336
60,1,0.9989166666666667,0.9821,0.2060481607913971,0.1601712703704834,0.14550656080245972,18.495067596435547
70,1,0.9997166666666667,0.9843,0.1849827617406845,0.16891144216060638,0.12079370021820068,18.456050872802734
80,1,0.9996333333333334,0.9837,0.17131780087947845,0.16985346376895905,0.09791392087936401,17.61261749267578
90,1,1.0,0.985,0.16915945708751678,0.18480932712554932,0.08727872371673584,16.84853744506836
100,1,0.9997,0.984,0.1720629632472992,0.17950664460659027,0.08349215984344482,15.630690574645996
110,1,1.0,0.9857,0.1654595136642456,0.1908213496208191,0.07499486207962036,15.83577823638916
120,1,0.9999833333333333,0.9853,0.16080601513385773,0.19091737270355225,0.07174175977706909,15.186595916748047
130,1,1.0,0.9854,0.16499722003936768,0.194436177611351,0.06945145130157471,14.982834815979004
140,1,1.0,0.9855,0.16292034089565277,0.19652602076530457,0.06668365001678467,14.904444694519043
150,1,0.9991666666666666,0.9827,0.16722269356250763,0.19094648957252502,0.06487524509429932,13.17770767211914
160,1,1.0,0.9846,0.16837771236896515,0.200852632522583,0.06520020961761475,14.565354347229004
170,1,1.0,0.9845,0.1705613136291504,0.20338140428066254,0.06406199932098389,14.452211380004883
180,1,1.0,0.985,0.17242735624313354,0.20668351650238037,0.06413829326629639,14.460627555847168
190,1,1.0,0.9849,0.17322057485580444,0.20714503526687622,0.06426066160202026,14.515645980834961
200,1,1.0,0.9849,0.17345261573791504,0.20738324522972107,0.06444311141967773,14.51872730255127
210,2,0.9911,0.9801,0.05687248706817627,0.14657524228096008,0.7341238260269165,2.790745258331299
220,2,0.9937833333333334,0.98,0.053344838321208954,0.122440867125988,0.604027509689331,1.9335428476333618
230,2,0.9963333333333333,0.9833,0.05175201967358589,0.10848881304264069,0.47776442766189575,1.5456047058105469
240,2,0.99445,0.9805,0.057851530611515045,0.10518764704465866,0.32533037662506104,1.4264253377914429
250,2,0.99355,0.9821,0.05606177821755409,0.10360030829906464,0.20367687940597534,1.4000022411346436
260,2,0.9948166666666667,0.9837,0.05076632648706436,0.10077110677957535,0.18335068225860596,1.3558058738708496
270,2,0.9947,0.9806,0.054644033312797546,0.10805270820856094,0.19595777988433838,1.3442341089248657
280,2,0.9943833333333333,0.9807,0.052213121205568314,0.11098367720842361,0.19960546493530273,1.3516788482666016
290,2,0.9932166666666666,0.9801,0.054768241941928864,0.11203155666589737,0.20518040657043457,1.3448081016540527
300,2,0.99505,0.9821,0.04970090463757515,0.10799387097358704,0.20103466510772705,1.3560236692428589
310,2,0.9954166666666666,0.9821,0.0542495958507061,0.10738824307918549,0.1990947723388672,1.31314218044281
320,2,0.9972833333333333,0.9848,0.04754491150379181,0.10452612489461899,0.19022619724273682,1.348411202430725
330,2,0.9956166666666667,0.9825,0.04816269874572754,0.11001405864953995,0.18996429443359375,1.4018328189849854
340,2,0.9961166666666667,0.9816,0.04942983761429787,0.10829000174999237,0.19315624237060547,1.4209648370742798
350,2,0.9966833333333334,0.9847,0.04206971824169159,0.11380333453416824,0.18945443630218506,1.5037704706192017
360,2,0.9970833333333333,0.9833,0.04138081148266792,0.10725405067205429,0.1858575940132141,1.5608456134796143
370,2,0.9977833333333334,0.9836,0.03962055966258049,0.10485212504863739,0.17333394289016724,1.6365140676498413
380,2,0.99775,0.984,0.03864984214305878,0.10734698176383972,0.1681581735610962,1.7000794410705566
390,2,0.9980166666666667,0.9839,0.03459292650222778,0.10432203859090805,0.15938031673431396,1.7374247312545776
400,2,0.9975,0.982,0.03440919890999794,0.1029481440782547,0.1546819806098938,1.8219703435897827
410,2,0.9983,0.9848,0.030476484447717667,0.10160872340202332,0.14373815059661865,1.8732458353042603
420,2,0.9988666666666667,0.9836,0.027403119951486588,0.0988544449210167,0.13391530513763428,1.9136040210723877
430,2,0.9991166666666667,0.9852,0.02566002495586872,0.09695649892091751,0.12839096784591675,1.9565895795822144
