epoch,condition,alpha,seed,train,test,nc1,nc2,nc3,feat_norm
210,scale_down,0.3,2,0.9998666666666667,0.9857,0.019169790670275688,0.0462118461728096,0.11903983354568481,1.139843463897705
220,scale_down,0.3,2,0.9987166666666667,0.985,0.016703804954886436,0.04919426143169403,0.06056898832321167,1.0143506526947021
230,scale_down,0.3,2,0.9974833333333334,0.9835,0.01742308773100376,0.052926551550626755,0.03729438781738281,0.9721804857254028
240,scale_down,0.3,2,0.9962333333333333,0.9813,0.017091907560825348,0.053442299365997314,0.027179598808288574,0.9957359433174133
250,scale_down,0.3,2,0.9962333333333333,0.983,0.016148557886481285,0.054390549659729004,0.025512278079986572,1.0344092845916748
260,scale_down,0.3,2,0.99485,0.9829,0.016735762357711792,0.054137516766786575,0.02275216579437256,1.0522295236587524
270,scale_down,0.3,2,0.9968,0.9834,0.012998305261135101,0.052892230451107025,0.02059227228164673,1.0513122081756592
280,scale_down,0.3,2,0.9966166666666667,0.9809,0.01322011649608612,0.050747014582157135,0.018961727619171143,1.0748486518859863
290,scale_down,0.3,2,0.9975666666666667,0.9829,0.011503725312650204,0.04934434965252876,0.018294692039489746,1.068935513496399
300,scale_down,0.3,2,0.9975666666666667,0.9832,0.01095412764698267,0.045639410614967346,0.016488850116729736,1.0698566436767578
310,scale_down,0.3,2,0.9984333333333333,0.9836,0.009315062314271927,0.04611097648739815,0.015526771545410156,1.067724347114563
320,scale_down,0.3,2,0.9987333333333334,0.9845,0.008309812285006046,0.04425638169050217,0.015227138996124268,1.0841574668884277
330,scale_down,0.3,2,0.9985333333333334,0.9843,0.008723205886781216,0.04372662678360939,0.014696121215820312,1.0860365629196167
340,scale_down,0.3,2,0.9986666666666667,0.9823,0.008650052361190319,0.04331504553556442,0.01412588357925415,1.087422490119934
350,scale_down,0.3,2,0.9976666666666667,0.9813,0.010099253617227077,0.04287496954202652,0.014260590076446533,1.0923917293548584
360,scale_down,0.3,2,0.9982166666666666,0.9837,0.009603739716112614,0.04460320994257927,0.014600574970245361,1.0883420705795288
370,scale_down,0.3,2,0.99905,0.9842,0.007464076858013868,0.04348747059702873,0.014237582683563232,1.0908585786819458
380,scale_down,0.3,2,0.9992833333333333,0.9835,0.006683036219328642,0.043438710272312164,0.014001667499542236,1.0875847339630127
390,scale_down,0.3,2,0.9993333333333333,0.9838,0.006581991445273161,0.0436554029583931,0.013525664806365967,1.0921841859817505
400,scale_down,0.3,2,0.9993833333333333,0.9845,0.006046311464160681,0.04388502612709999,0.013878822326660156,1.0923925638198853
410,scale_down,0.3,2,0.9994333333333333,0.9837,0.006651279516518116,0.04414384067058563,0.013857901096343994,1.0890896320343018
420,scale_down,0.3,2,0.9997,0.9845,0.006174161564558744,0.043595943599939346,0.01355743408203125,1.086754322052002
430,scale_down,0.3,2,0.9995833333333334,0.985,0.005799162667244673,0.04417192190885544,0.013587355613708496,1.088876724243164
440,scale_down,0.3,2,0.9996833333333334,0.9853,0.005268756300210953,0.04372475668787956,0.013644695281982422,1.096696376800537
450,scale_down,0.3,2,0.9996333333333334,0.9851,0.005233642645180225,0.04343371093273163,0.013519644737243652,1.0892350673675537
460,scale_down,0.3,2,0.9998,0.9852,0.004641158040612936,0.0432453528046608,0.013273537158966064,1.0917658805847168
470,scale_down,0.3,2,0.9998,0.985,0.004419035278260708,0.042976994067430496,0.0130959153175354,1.0880653858184814
480,scale_down,0.3,2,0.9998166666666667,0.9851,0.00439766189083457,0.04361770302057266,0.013218879699707031,1.0909092426300049
490,scale_down,0.3,2,0.9998166666666667,0.9851,0.004087962210178375,0.04322485625743866,0.013103067874908447,1.0858432054519653
500,scale_down,0.3,2,0.9998166666666667,0.9854,0.003989601507782936,0.043188709765672684,0.013120532035827637,1.0861574411392212
510,scale_down,0.3,2,0.9998166666666667,0.9849,0.004106623120605946,0.04325020685791969,0.013136684894561768,1.0897786617279053
520,scale_down,0.3,2,0.9998166666666667,0.9853,0.003919158596545458,0.04313799366354942,0.013149082660675049,1.0923292636871338
530,scale_down,0.3,2,0.9998333333333334,0.9855,0.0039214324206113815,0.04304029420018196,0.013048648834228516,1.0881857872009277
540,scale_down,0.3,2,0.9998333333333334,0.9852,0.003890898311510682,0.04289036989212036,0.013038992881774902,1.0903490781784058
550,scale_down,0.3,2,0.9998166666666667,0.9852,0.0037663232069462538,0.04293738305568695,0.013061106204986572,1.0895938873291016
560,scale_down,0.3,2,0.9998166666666667,0.9854,0.0037784259766340256,0.04289204254746437,0.01305532455444336,1.0906368494033813
570,scale_down,0.3,2,0.9998333333333334,0.9856,0.0037638067733496428,0.04294842854142189,0.013065159320831299,1.0899512767791748
580,scale_down,0.3,2,0.99985,0.9855,0.0037604232784360647,0.04288727045059204,0.013052821159362793,1.0901697874069214
590,scale_down,0.3,2,0.9998333333333334,0.9853,0.0037675234489142895,0.0429266057908535,0.01306074857711792,1.0903258323669434
600,scale_down,0.3,2,0.9998333333333334,0.9854,0.003769317641854286,0.04293207824230194,0.013058841228485107,1.09046471118927
